id,dansk_navn,slaegtsnavn,planteaar,driftsorganisation,fredet_beskyttet_trae,bydelsnavn,wkb_geometry
5444,Småbladet lind,Lind,1977.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.5533804788956 55.66714980879391)
5445,Spidsløn,Løn,1972.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.553909079676435 55.66599700853868)
5446,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554150444529668 55.66566406888827)
5447,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55441082606878 55.66536689639819)
5448,Elm,Elm,2018.0,Vanding udliciteret til KSTreeCare,False,Indre By,POINT (12.567715131208276 55.680563799969896)
5449,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554798385552715 55.66495248896302)
5450,Almindelig robinie,Robinie,2008.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554382728936801 55.666109220679346)
5451,Småbladet lind,Lind,1979.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.552975411658876 55.66868035111946)
5452,Småbladet lind,Lind,1979.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.552932713531778 55.66893853367019)
5453,Småbladet lind,Lind,1979.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.553031598195343 55.668941480903364)
5454,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554272669795468 55.668520377617114)
5455,Glansbladet tjørn,Tjørn,2001.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554304049970339 55.6684436113175)
5456,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554418513860629 55.668539585123355)
5457,Kinapære,Ask,1995.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55479539781248 55.66783578146883)
5458,Glansbladet tjørn,Tjørn,2001.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554464808493874 55.66804271818007)
5459,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554430927197068 55.668129837974796)
5460,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554606879683105 55.668058883191286)
5461,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55457410512157 55.66814736025751)
5462,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55444975614136 55.66846189405604)
5463,Glansbladet tjørn,Tjørn,2001.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554146305653662 55.668834413733315)
5464,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554111442347102 55.66892156187842)
5465,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554291685335892 55.668853756730755)
5466,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.554256609579546 55.66893930476927)
5467,Kejserlind,Lind,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55780394349897 55.66173215878923)
5468,Kejserlind,Lind,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.557824617047507 55.66179864715915)
5469,Kejserlind,Lind,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.557900826402928 55.6617844194353)
5470,Kejserlind,Lind,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.557953417250008 55.661865650839545)
5471,Kejserlind,Lind,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.558007099822596 55.66183773459835)
5472,Kejserlind,Lind,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.558136620154075 55.661966028955625)
5473,Kejserlind,Lind,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.558205524452736 55.661934848652436)
5474,Kejserlind,Lind,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.558292000562085 55.6619786499764)
5475,Spidsløn,Løn,1972.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.555513101984697 55.66590635588194)
5476,Spidsløn,Løn,1972.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55553850302269 55.6659279201095)
5477,Spidsløn,Løn,1972.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.556189930990886 55.66559219581714)
5478,Platan,Platan,2001.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.558043838575651 55.66531450458722)
5479,Platan,Platan,2000.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.5588816552659 55.66966721370835)
5480,"Alnus spaethii, ikke navngivet på dansk",El,2008.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.559431775995868 55.66977422578113)
5481,Krimlind,Lind,1948.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.541135661911783 55.67032880455595)
5482,Krimlind,Lind,1948.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.541251684827026 55.67017530805352)
5483,Krimlind,Lind,1948.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.541392906036517 55.67020997482921)
5484,Krimlind,Lind,1948.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.541337404532028 55.67028641813974)
5485,Krimlind,Lind,1948.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.541272606378197 55.67036117483944)
5486,Almindelig robinie,Robinie,2014.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.54340240348804 55.670169354638496)
5487,"Prunus umineko, ikke navngivet på dansk",Lind,2011.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.54432120099398 55.6705800748485)
5488,Hestekastanie,Hestekastanie,1980.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545444646660652 55.686360067312805)
5489,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545455655798953 55.68645144050068)
5490,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.54546324681482 55.68671951405872)
5491,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545355429275688 55.68742332967723)
5492,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545457110462312 55.6868086301684)
5493,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545463306713263 55.6869021285212)
5494,Hestekastanie,Hestekastanie,1970.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545449823730937 55.686987564765545)
5495,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.568959708239941 55.70884072391296)
5496,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.568989262391053 55.70873955858618)
5497,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.569050516107477 55.70854191135253)
5498,Almindelig robinie,Robinie,2018.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.547449390230216 55.66736366412205)
5499,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.569083359367374 55.7084402251598)
5500,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.5691144952626 55.708346982849555)
5501,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.54544173509031 55.68707847675602)
5502,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545426662258029 55.68716765243817)
5503,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545407332078126 55.68725521420355)
5504,Spidsløn,Løn,1975.0,"TMF-Parker, Kirkegårde og Renhold",False,Amager Vest,POINT (12.566474361590009 55.65002549119677)
5505,Spidsløn,Løn,1975.0,"TMF-Parker, Kirkegårde og Renhold",False,Amager Vest,POINT (12.566253964312205 55.650150465662236)
5506,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.56914930011171 55.7082396434128)
5507,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.56917809176119 55.708147868323806)
5508,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.569278035560696 55.70831983987359)
5509,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.5452373328402 55.68769045914656)
5510,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545315355403615 55.687519184889126)
5511,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545277362157087 55.68760439061893)
5512,Hestekastanie,Hestekastanie,1931.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.545197671611144 55.68777771628365)
5513,Hestekastanie,Hestekastanie,1982.0,Vanding udliciteret til KSTreeCare,False,Nørrebro,POINT (12.54515714770624 55.687865482930924)
5514,Spidsløn,Løn,1995.0,"TMF-Parker, Kirkegårde og Renhold",False,Amager Vest,POINT (12.56668591398362 55.650423664090525)
5515,Spidsløn,Løn,1975.0,"TMF-Parker, Kirkegårde og Renhold",False,Amager Vest,POINT (12.566729155329794 55.65050560758771)
5516,Spidsløn,Løn,1975.0,"TMF-Parker, Kirkegårde og Renhold",False,Amager Vest,POINT (12.567028169987438 55.65156935926158)
5517,Spidsløn,Løn,1975.0,"TMF-Parker, Kirkegårde og Renhold",False,Amager Vest,POINT (12.567069144760946 55.651645987475895)
5518,Spidsløn,Løn,1975.0,"TMF-Parker, Kirkegårde og Renhold",False,Amager Vest,POINT (12.567241024655576 55.651442982034034)
5519,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.569408767816164 55.70790611818852)
5520,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.56937332714475 55.708006481036335)
5521,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.569284749010604 55.70783917619185)
5522,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.569253588100024 55.70794571013767)
5523,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.569223089586384 55.70804592913414)
5524,Park-Lind,Lind,1980.0,"TMF-Parker, Kirkegårde og Renhold",False,Østerbro,POINT (12.569147660447934 55.708712666128214)
